gesture_idx,gesture_name,x_0,y_0,z_0,x_1,y_1,z_1,x_2,y_2,z_2,x_3,y_3,z_3,x_4,y_4,z_4,x_5,y_5,z_5,x_6,y_6,z_6,x_7,y_7,z_7,x_8,y_8,z_8,x_9,y_9,z_9,x_10,y_10,z_10,x_11,y_11,z_11,x_12,y_12,z_12,x_13,y_13,z_13,x_14,y_14,z_14,x_15,y_15,z_15,x_16,y_16,z_16,x_17,y_17,z_17,x_18,y_18,z_18,x_19,y_19,z_19,x_20,y_20,z_20
3,Peace,0.586490393,0.801668763,3.83E-07,0.535304904,0.76404202,-0.015063322,0.503902256,0.674021482,-0.019097934,0.525231242,0.597202301,-0.026477613,0.562398851,0.557319641,-0.034110952,0.509319365,0.594290197,-0.000144395,0.476769328,0.509694278,-0.01435872,0.459030509,0.460963726,-0.022684313,0.444013923,0.418212712,-0.02931702,0.549326897,0.583078384,-0.009037637,0.536278844,0.468580484,-0.028293574,0.526190758,0.408499032,-0.041698284,0.520700634,0.358825028,-0.048399627,0.589537442,0.598091781,-0.020715835,0.576005459,0.513644397,-0.057105742,0.565228105,0.586022973,-0.059158862,0.563345551,0.640008688,-0.049706835,0.62836659,0.628783643,-0.033069756,0.601582885,0.58954078,-0.065164827,0.590141714,0.648253918,-0.062721558,0.591091573,0.693522096,-0.05360819
3,Peace,0.537468016,0.819028854,4.39E-07,0.484095514,0.785720468,-0.016375422,0.449382186,0.696790576,-0.022115303,0.474689811,0.618798792,-0.030825717,0.514045119,0.576481581,-0.040262185,0.450044185,0.609369695,-0.0063805,0.413089633,0.52308476,-0.022815265,0.392574161,0.471544415,-0.032280866,0.37550354,0.425563216,-0.039426405,0.491871774,0.597343385,-0.015783399,0.47807014,0.478580892,-0.036780536,0.466855377,0.415244997,-0.050691914,0.460323304,0.361905783,-0.057323609,0.534067094,0.611568451,-0.027760906,0.51723361,0.533061743,-0.065377794,0.506576002,0.607895076,-0.067580886,0.506361365,0.660801172,-0.057898678,0.574195325,0.641144872,-0.040456623,0.543022633,0.60480547,-0.072803758,0.532025516,0.668531418,-0.069111116,0.534958243,0.714570403,-0.0589667
3,Peace,0.518191516,0.803595603,4.57E-07,0.471293271,0.765400589,-0.016851474,0.443061292,0.67528379,-0.023996804,0.471283078,0.601219416,-0.034033351,0.512119532,0.562760115,-0.044675272,0.444609702,0.584193051,-0.009654244,0.416082919,0.491648376,-0.026983505,0.400674224,0.436493188,-0.03582523,0.387228489,0.389496058,-0.041860051,0.486990005,0.57699728,-0.018878108,0.481564701,0.457050264,-0.040830545,0.473500937,0.392272145,-0.05418146,0.468435973,0.33985427,-0.059722248,0.52767688,0.595769882,-0.030544076,0.511752486,0.519519866,-0.069257595,0.496846914,0.591912866,-0.072297461,0.494114041,0.643253446,-0.062481944,0.564292848,0.629511654,-0.042748205,0.533157527,0.592098057,-0.075820126,0.519170582,0.654558361,-0.072748989,0.520959377,0.70073849,-0.062499959
3,Peace,0.470791698,0.804925382,4.44E-07,0.417584121,0.768956065,-0.016763151,0.388312876,0.675523281,-0.021708913,0.415448427,0.600747526,-0.029593343,0.452341288,0.558867097,-0.038156919,0.399194151,0.584496915,-0.003345061,0.37280786,0.493160665,-0.018951962,0.356928706,0.439996421,-0.027506838,0.342984319,0.394336343,-0.033613008,0.441023201,0.577701688,-0.012307484,0.435599595,0.458456606,-0.033630963,0.427060992,0.394377947,-0.047704924,0.422647804,0.341519892,-0.0535261,0.480979294,0.59641242,-0.024182389,0.46087265,0.522181392,-0.064203747,0.445115477,0.596775949,-0.068380274,0.4434793,0.648213685,-0.058857158,0.51718688,0.62943989,-0.036528252,0.480895221,0.594387531,-0.071933277,0.465853125,0.660159349,-0.070120372,0.468258649,0.706523895,-0.060291272
3,Peace,0.425193578,0.808944285,4.31E-07,0.369269758,0.768030047,-0.011892146,0.342233092,0.674924076,-0.017034002,0.367072403,0.600305259,-0.026075428,0.397976905,0.553637505,-0.035665106,0.352505714,0.58575809,-0.003095804,0.325850666,0.496739686,-0.019089557,0.310311943,0.446284831,-0.028128104,0.298151016,0.401207983,-0.0348153,0.39384225,0.577988446,-0.014256469,0.389639497,0.458643556,-0.035888076,0.382212281,0.394798189,-0.050667908,0.380491853,0.342971772,-0.057678729,0.433591157,0.594970047,-0.027481712,0.413643301,0.521037996,-0.06362278,0.395231158,0.595610738,-0.065230019,0.392457128,0.647981644,-0.055855088,0.469949752,0.625905871,-0.041139033,0.432368547,0.597178817,-0.071718857,0.415640205,0.662064672,-0.068059117,0.417466909,0.70678395,-0.058204357
3,Peace,0.386688948,0.808806658,4.21E-07,0.329463452,0.774893045,-0.013133841,0.296839267,0.6843701,-0.019255776,0.314342111,0.606636524,-0.029195393,0.346782058,0.560838103,-0.039476622,0.315001637,0.59728992,-0.005725081,0.288458139,0.504080236,-0.023240706,0.273279309,0.451871276,-0.031999148,0.26109913,0.406411737,-0.038185235,0.356120259,0.588113546,-0.016321896,0.350159973,0.464975834,-0.040168501,0.341001034,0.399622321,-0.054499254,0.337427706,0.347298503,-0.060677603,0.395685405,0.602200091,-0.029034441,0.368331254,0.524394453,-0.068091691,0.352777421,0.600123346,-0.068660468,0.353188217,0.654375255,-0.057434861,0.432159185,0.629669249,-0.04220904,0.387804121,0.601770163,-0.07616628,0.372581124,0.666122019,-0.073745854,0.37641874,0.711244345,-0.063938066
3,Peace,0.327011168,0.808971941,3.83E-07,0.265298039,0.772229135,-0.010364093,0.228543133,0.687572777,-0.015123846,0.240289658,0.616797447,-0.024730301,0.273614019,0.572082043,-0.034481503,0.257356197,0.594246268,0.003609325,0.234026611,0.50916487,-0.013203639,0.220506787,0.4606013,-0.02287267,0.211639822,0.417558372,-0.029828411,0.297645569,0.584242761,-0.008822721,0.289937377,0.469862789,-0.03163005,0.278008401,0.406268328,-0.04620418,0.272902399,0.355218083,-0.052794419,0.335109144,0.596967041,-0.024018213,0.303898215,0.520119905,-0.064292297,0.286222965,0.595187545,-0.066952251,0.286843777,0.653044879,-0.056902185,0.368186146,0.625193775,-0.039419062,0.31788379,0.60555172,-0.074852072,0.302785277,0.669256568,-0.074583761,0.308880389,0.715298116,-0.06607651
3,Peace,0.282551259,0.816164911,4.01E-07,0.223962739,0.778473675,-0.011463718,0.189686194,0.699363589,-0.019103892,0.193105504,0.628468335,-0.031579714,0.224977762,0.582748175,-0.043291382,0.216078594,0.605102301,0.003664164,0.18996495,0.521849453,-0.013100534,0.175283685,0.475191951,-0.02201513,0.166005716,0.434121341,-0.028258331,0.255447596,0.593910933,-0.008386916,0.241947278,0.479920357,-0.0326051,0.227868944,0.41853869,-0.047742572,0.220975921,0.369730532,-0.054289043,0.292153955,0.604655623,-0.023281487,0.25259763,0.539088964,-0.062822446,0.239353806,0.612633228,-0.063735344,0.244122729,0.66659373,-0.052340794,0.32272023,0.629778981,-0.03872269,0.266336292,0.613725126,-0.070632957,0.251920193,0.676701307,-0.068751931,0.25780195,0.721160471,-0.059564114
3,Peace,0.24426131,0.834536791,3.63E-07,0.184854716,0.803591013,-0.008750531,0.146954179,0.718513131,-0.011629038,0.152101308,0.643644512,-0.019431805,0.187679365,0.606025577,-0.027089315,0.168561131,0.632897794,0.004171193,0.137548149,0.548469782,-0.009719996,0.119213924,0.500146151,-0.016360961,0.104929157,0.45952177,-0.021999959,0.208450541,0.618045092,-0.007957349,0.196655273,0.501825452,-0.030395454,0.183201805,0.437887639,-0.045489348,0.176639155,0.389924318,-0.052795198,0.245576769,0.62655288,-0.022165315,0.215974629,0.546056449,-0.060292795,0.203595936,0.619258404,-0.06241218,0.205746561,0.676319957,-0.052683283,0.27865842,0.647799194,-0.036543503,0.228654221,0.6330567,-0.070907183,0.21612829,0.697528958,-0.072038502,0.22203584,0.744898736,-0.064981505
3,Peace,0.228950426,0.852910459,3.58E-07,0.16908282,0.814993739,-0.012047732,0.134367362,0.716625094,-0.015168409,0.157777876,0.636885107,-0.022247452,0.194855884,0.592901051,-0.030066781,0.144023001,0.630602598,2.55E-05,0.105961017,0.54340446,-0.015209351,0.084163643,0.494095206,-0.022782633,0.067802623,0.450233817,-0.028142743,0.190002918,0.614406765,-0.010519792,0.174634993,0.495658696,-0.031296115,0.163210809,0.432560921,-0.044747755,0.158801213,0.37850672,-0.050244059,0.236522853,0.624616742,-0.023456763,0.209659085,0.55553019,-0.061443627,0.196319565,0.638608217,-0.064113826,0.19700183,0.6967507,-0.054067262,0.279883802,0.649996936,-0.036736228,0.233580604,0.634493172,-0.069947369,0.217777207,0.705193758,-0.06848526,0.220441088,0.75344944,-0.059363019
